date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-04-08,2891,147037446,5247317175,35.5,36.4,35.15,35.85,-0.55,48962
2025-04-09,2891,122845962,4317688171,36.3,36.45,33.65,34.0,-1.85,45202
2025-04-10,2891,42508814,1589829249,37.4,37.4,37.4,37.4,3.4,8391
2025-04-11,2891,105343985,3903771118,36.5,37.5,36.05,37.25,-0.15,31965
2025-04-14,2891,63431506,2369033560,37.7,38.0,37.0,37.05,-0.2,19839
2025-04-15,2891,39474172,1480905512,37.15,37.75,37.05,37.75,0.7,13604
2025-04-16,2891,53947734,2022107352,37.5,37.8,37.1,37.75,0.0,19612
2025-04-17,2891,41053855,1532038049,37.7,37.8,37.2,37.2,-0.55,14547
2025-04-18,2891,60697328,2238040723,37.05,37.1,36.6,36.75,-0.45,18595
2025-04-21,2891,33398570,1219170147,36.75,36.85,36.3,36.3,-0.45,14575
2025-04-22,2891,55571141,1989301748,36.1,36.1,35.6,35.7,-0.6,17342
2025-04-23,2891,50881489,1855363807,36.2,36.9,36.1,36.25,0.55,15295
2025-04-24,2891,50760512,1840274210,36.3,36.75,35.85,36.35,0.1,17517
2025-04-25,2891,63562106,2337229381,36.75,37.15,36.3,36.95,0.6,18627
2025-04-28,2891,92412667,3487645266,38.1,38.1,37.45,38.0,1.05,28440
2025-04-29,2891,89592071,3467618796,38.0,39.1,37.85,39.0,1.0,26988
2025-04-30,2891,78516928,3075263032,39.05,39.4,38.85,39.3,0.3,23277
2025-05-02,2891,84913213,3404590701,40.4,40.4,39.75,40.25,0.95,21532
2025-05-05,2891,107058276,4197157407,39.5,39.55,38.8,39.3,-0.95,35609
2025-05-06,2891,83718786,3333582010,39.7,40.1,39.05,40.0,0.7,20374
2025-05-07,2891,65346652,2599944011,40.2,40.2,39.3,39.6,-0.4,17260
2025-05-08,2891,54334972,2163713670,39.8,40.05,39.55,39.7,0.1,12870
2025-05-09,2891,69664713,2760909524,39.25,39.95,39.05,39.95,0.25,23483
2025-05-12,2891,55611837,2226052021,40.0,40.15,39.85,40.1,0.15,16549
2025-05-13,2891,79411393,3202480127,40.3,40.6,40.1,40.2,0.1,18250
2025-05-14,2891,76552789,3098064793,40.5,40.65,40.25,40.6,0.4,17887
2025-05-15,2891,85283103,3497663916,40.6,41.25,40.45,41.15,0.55,25642
2025-05-16,2891,82425779,3430135920,41.05,42.0,41.0,42.0,0.85,24004
2025-05-19,2891,73843276,3062109138,41.95,42.0,41.1,41.5,-0.5,22736
2025-05-20,2891,73593010,3049917470,41.65,41.75,40.95,41.75,0.25,26393
2025-05-21,2891,134205725,5716212284,41.85,43.15,41.45,43.0,1.25,45411
2025-05-22,2891,136502547,5880018817,42.45,43.3,42.4,42.9,-0.1,30900
2025-05-23,2891,122713094,5281122163,43.25,43.35,42.75,42.8,-0.1,29184
2025-05-26,2891,130538879,5510199553,42.65,43.0,41.35,41.35,-1.45,40525
2025-05-27,2891,168049223,6916639621,41.35,41.9,40.8,40.8,-0.55,54220
2025-05-28,2891,194365202,8030421355,41.3,42.0,40.85,41.1,0.3,46364
2025-05-29,2891,259173797,10664144558,41.4,41.75,40.85,40.85,-0.25,40908
2025-06-02,2891,166018693,6867825141,40.55,41.8,40.35,41.8,0.95,46451
2025-06-03,2891,214520762,9143403579,41.75,43.0,41.45,43.0,1.2,54387
2025-06-04,2891,158279053,6765351809,42.7,43.0,42.2,42.5,-0.5,52505
2025-06-05,2891,110362963,4572715425,42.2,42.4,40.8,41.2,-1.3,46608
2025-06-06,2891,64746759,2697667455,41.25,41.95,41.25,41.55,0.35,18939
2025-06-09,2891,40960266,1710979402,41.75,42.0,41.4,42.0,0.45,14134
2025-06-10,2891,96269345,4088426475,41.85,42.75,41.55,42.5,0.5,26447
2025-06-11,2891,75799422,3187738681,42.45,42.5,41.6,42.15,-0.35,25850
2025-06-12,2891,62921068,2670866785,42.15,42.6,42.05,42.5,0.35,15605
2025-06-13,2891,68081981,2897990878,42.0,42.85,41.95,42.7,0.2,17406
2025-06-16,2891,39346930,1680508389,42.6,43.05,42.55,42.7,0.0,13507
2025-06-17,2891,73007164,3130090804,42.7,43.1,42.6,42.6,-0.1,18280
2025-06-18,2891,54550018,2344016943,42.65,43.1,42.6,43.1,0.5,21348
2025-06-19,2891,39420561,1699517452,42.75,43.25,42.75,43.0,-0.1,15177
2025-06-20,2891,57036681,2449344577,42.9,43.15,42.65,42.95,-0.05,13570
2025-06-23,2891,31463796,1344900953,42.65,42.95,42.45,42.95,0.0,9469
2025-06-24,2891,55775051,2432662219,43.1,43.75,43.05,43.75,0.8,16746
2025-06-25,2891,38692291,1693197189,43.8,43.9,43.5,43.9,0.15,14122
2025-06-26,2891,57518948,2547202716,44.0,44.5,43.9,44.3,0.4,18614
2025-06-27,2891,49995762,2223355884,44.3,44.75,44.25,44.5,0.2,18700
2025-06-30,2891,45064865,1976499734,44.25,44.25,43.7,43.7,-0.8,18382
2025-07-01,2891,113510253,5004285599,43.75,44.85,43.55,44.0,0.3,32436
2025-07-02,2891,49291282,2173537786,43.95,44.65,43.9,43.9,-0.1,15211
2025-07-03,2891,53025376,2348208654,44.05,44.5,44.0,44.4,0.5,14757
2025-07-04,2891,44019225,1960764872,44.45,44.8,44.35,44.5,0.1,19714
2025-07-07,2891,56407727,2521712036,44.5,44.95,44.3,44.95,0.45,18237
2025-07-08,2891,58392944,2598438603,44.9,44.95,44.15,44.4,-0.55,20281
2025-07-09,2891,84640492,3718098443,44.4,44.5,43.35,43.9,-0.5,35593
2025-07-10,2891,82345696,3616839600,43.9,44.3,43.35,44.1,0.2,31098
2025-07-11,2891,91889099,4058508701,44.0,44.4,43.85,43.85,-0.25,33410
2025-07-14,2891,89361199,3730617807,41.15,42.4,40.9,41.9,0.0,29183
2025-07-15,2891,56309662,2392620498,42.05,42.9,42.05,42.9,1.0,16470
2025-07-16,2891,54192347,2324655771,42.65,43.0,42.45,43.0,0.1,17766
2025-07-17,2891,49477551,2116272603,43.0,43.0,42.5,42.8,-0.2,18160
2025-07-18,2891,21194690,904392636,42.9,43.1,42.5,42.7,-0.1,10494
2025-07-21,2891,43852485,1870573573,42.75,43.25,42.25,42.5,-0.2,15209
2025-07-22,2891,51735351,2215332602,42.7,43.15,42.45,42.65,0.15,18472
2025-07-23,2891,44188362,1891440577,42.95,43.0,42.45,43.0,0.35,17426
2025-07-24,2891,38554049,1649778144,42.9,43.1,42.5,42.95,-0.05,13204
2025-07-25,2891,50448582,2141505367,42.65,42.85,42.25,42.5,-0.45,19451
2025-07-28,2891,41148200,1735921862,42.6,42.8,42.0,42.1,-0.4,14059
2025-07-29,2891,52634918,2194037222,42.2,42.3,41.5,41.7,-0.4,22252
2025-07-30,2891,26225297,1096707851,41.8,42.1,41.6,41.9,0.2,9295
2025-07-31,2891,25854061,1069796986,41.55,41.65,41.25,41.25,-0.65,10533
2025-08-01,2891,25760513,1066252040,40.85,41.7,40.7,41.45,0.2,9576
2025-08-04,2891,35844515,1517033376,41.35,42.65,41.35,42.65,1.2,13726
2025-08-05,2891,38973975,1654727032,42.4,42.75,42.15,42.6,-0.05,16862
2025-08-06,2891,22437638,961087282,42.6,43.0,42.55,42.9,0.3,9735
2025-08-07,2891,28946185,1243613227,43.0,43.1,42.75,42.95,0.05,9541
2025-08-08,2891,17284317,742299315,42.75,43.0,42.75,43.0,0.05,8192
2025-08-11,2891,21578076,928371255,42.8,43.2,42.8,43.1,0.1,8766
2025-08-12,2891,27598031,1184708280,43.1,43.2,42.8,42.8,-0.3,13330
2025-08-13,2891,33614190,1442086142,42.8,43.0,42.7,43.0,0.2,10662
2025-08-14,2891,29371060,1268128278,43.1,43.4,43.0,43.2,0.2,10989
2025-08-15,2891,23098491,990702732,43.1,43.3,42.8,42.85,-0.35,11584
2025-08-18,2891,40880919,1741539676,42.85,42.9,42.25,42.85,0.0,24903
2025-08-19,2891,26755747,1148387403,42.75,43.15,42.6,42.95,0.1,17805
2025-08-20,2891,37104228,1585965839,43.15,43.15,42.5,42.7,-0.25,25406
2025-08-21,2891,28170731,1214896192,43.0,43.2,42.9,43.2,0.5,11724
2025-08-22,2891,21915120,938016885,43.0,43.15,42.65,42.7,-0.5,12122
2025-08-25,2891,20839120,891300616,42.85,42.95,42.5,42.9,0.2,8231
2025-08-26,2891,41366699,1744100665,42.7,42.75,41.95,42.0,-0.9,14916
2025-08-27,2891,34119690,1429014721,41.8,42.1,41.75,41.75,-0.25,15615
2025-08-28,2891,23227568,973867425,41.85,42.25,41.8,41.8,0.05,7809
